id;Latex;English 1;English 2;English 3
203;\frac{d}{d \delta} \phi(\delta) = {\phi\_prime}(\eta);The derivative of phi of delta with respect to delta equals phi prime of eta.;Differentiating phi of delta with respect to delta gives us phi prime of eta.;The rate of change of phi of delta with respect to delta is equal to phi prime evaluated at eta.
204;\frac{d}{d \epsilon} g(x) = {g\_prime}(b);The derivative of g of x with respect to epsilon equals g prime of b.;Differentiating g of x with respect to epsilon gives us g prime of b.;The rate of change of g of x with respect to epsilon is equal to g prime evaluated at b.
205;\frac{d}{d \delta} g(\epsilon) = {g\_prime}(\delta);The derivative of g of epsilon with respect to delta equals g prime of delta.;Differentiating g of epsilon with respect to delta gives us g prime of delta.;The rate of change of g of epsilon with respect to delta is equal to g prime evaluated at delta.
206;\frac{d}{d \epsilon} g(c) = {g\_prime}(\zeta);The derivative of g of c with respect to epsilon equals g prime of zeta.;Differentiating g of c with respect to epsilon gives us g prime of zeta.;The rate of change of g of c with respect to epsilon is equal to g prime evaluated at zeta.
207;\frac{d}{d b} h(b) = {h\_prime}(y);The derivative of h of b with respect to b equals h prime of y.;Differentiating h of b with respect to b gives us h prime of y.;The rate of change of h of b with respect to b is equal to h prime evaluated at y.
208;\frac{d}{d \alpha} h(z) = {h\_prime}(z);The derivative of h of z with respect to alpha equals h prime of z.;Differentiating h of z with respect to alpha gives us h prime of z.;The rate of change of h of z with respect to alpha is equal to h prime evaluated at z.
209;\frac{d}{d z} \omega(\alpha) = {\omega\_prime}(\gamma);The derivative of omega of alpha with respect to z equals omega prime of gamma.;Differentiating omega of alpha with respect to z gives us omega prime of gamma.;The rate of change of omega of alpha with respect to z is equal to omega prime evaluated at gamma.
210;\frac{d}{d \alpha} g(\epsilon) = {g\_prime}(\eta);The derivative of g of epsilon with respect to alpha equals g prime of eta.;Differentiating g of epsilon with respect to alpha gives us g prime of eta.;The rate of change of g of epsilon with respect to alpha is equal to g prime evaluated at eta.
211;{matrix} \cdot {vector} = {vector};A matrix times a vector equals a vector.;Multiplying a matrix by a vector gives us a vector.;The product of a matrix and a vector is a vector.
212;\det({matrix}) = 190;The determinant of the matrix equals 190.;The matrix's determinant is 190.;The determinant value for this matrix is 190.
213;\det({matrix}) = 460;The determinant of the matrix equals 460.;The matrix's determinant is 460.;The determinant value for this matrix is 460.
214;\det({matrix}) = 9;The determinant of the matrix equals 9.;The matrix's determinant is 9.;The determinant value for this matrix is 9.
215;\det({matrix}) = 59921;The determinant of the matrix equals 524.;The matrix's determinant is 524.;The determinant value for this matrix is 524.
216;\det({matrix}) = 819;The determinant of the matrix equals 819.;The matrix's determinant is 819.;The determinant value for this matrix is 819.
217;\det({matrix}) = 6779;The determinant of the matrix equals 626.;The matrix's determinant is 626.;The determinant value for this matrix is 626.
218;\det({matrix}) = 611;The determinant of the matrix equals 611.;The matrix's determinant is 611.;The determinant value for this matrix is 611.
219;\det({matrix}) = 713;The determinant of the matrix equals 713.;The matrix's determinant is 713.;The determinant value for this matrix is 713.
220;\det({matrix}) = 368;The determinant of the matrix equals 368.;The matrix's determinant is 368.;The determinant value for this matrix is 368.
221;\det({matrix}) = 780;The determinant of the matrix equals 780.;The matrix's determinant is 780.;The determinant value for this matrix is 780.
222;\det({matrix}) = 432;The determinant of the matrix equals 432.;The matrix's determinant is 432.;The determinant value for this matrix is 432.
223;\det({matrix}) = 31080;The determinant of the matrix equals 250.;The matrix's determinant is 250.;The determinant value for this matrix is 250.
224;\det({matrix}) = 77;The determinant of the matrix equals 27.;The matrix's determinant is 27.;The determinant value for this matrix is 27.
225;\det({matrix}) = 807;The determinant of the matrix equals 807.;The matrix's determinant is 807.;The determinant value for this matrix is 807.
226;\det({matrix}) = 351;The determinant of the matrix equals 351.;The matrix's determinant is 351.;The determinant value for this matrix is 351.
227;\det({matrix}) = 869;The determinant of the matrix equals 869.;The matrix's determinant is 869.;The determinant value for this matrix is 869.
228;\det({matrix}) = 1847;The determinant of the matrix equals 257.;The matrix's determinant is 257.;The determinant value for this matrix is 257.
229;\det({matrix}) = 9;The determinant of the matrix equals 9.;The matrix's determinant is 9.;The determinant value for this matrix is 9.
230;\det({matrix}) = 4;The determinant of the matrix equals 4.;The matrix's determinant is 4.;The determinant value for this matrix is 4.
231;\det({matrix}) = 871;The determinant of the matrix equals 871.;The matrix's determinant is 871.;The determinant value for this matrix is 871.
232;\lim_{b \to {infinity}} g(\eta);The limit as b approaches infinity of g of eta.;As b goes to infinity, the limit of g of eta.;The limit of g of eta when b tends to infinity.
233;\lim_{\epsilon \to {infinity}} h(c);The limit as epsilon approaches infinity of h of c.;As epsilon goes to infinity, the limit of h of c.;The limit of h of c when epsilon tends to infinity.
234;\lim_{\epsilon \to {infinity}} \psi(x);The limit as epsilon approaches infinity of psi of x.;As epsilon goes to infinity, the limit of psi of x.;The limit of psi of x when epsilon tends to infinity.
235;\lim_{c \to {infinity}} f(y);The limit as c approaches infinity of f of y.;As c goes to infinity, the limit of f of y.;The limit of f of y when c tends to infinity.
236;\lim_{x \to {infinity}} g(x);The limit as x approaches infinity of g of x.;As x goes to infinity, the limit of g of x.;The limit of g of x when x tends to infinity.
237;\lim_{\epsilon \to {infinity}} f(\epsilon);The limit as epsilon approaches infinity of f of epsilon.;As epsilon goes to infinity, the limit of f of epsilon.;The limit of f of epsilon when epsilon tends to infinity.
238;\lim_{x \to {infinity}} h(\beta);The limit as x approaches infinity of h of beta.;As x goes to infinity, the limit of h of beta.;The limit of h of beta when x tends to infinity.
239;\lim_{x \to {infinity}} g(c);The limit as x approaches infinity of g of c.;As x goes to infinity, the limit of g of c.;The limit of g of c when x tends to infinity.
240;\lim_{z \to {infinity}} g(\eta);The limit as z approaches infinity of g of eta.;As z goes to infinity, the limit of g of eta.;The limit of g of eta when z tends to infinity.
241;\lim_{\epsilon \to {infinity}} \psi(\epsilon);The limit as epsilon approaches infinity of psi of epsilon.;As epsilon goes to infinity, the limit of psi of epsilon.;The limit of psi of epsilon when epsilon tends to infinity.
242;\lim_{b \to {infinity}} f(x);The limit as b approaches infinity of f of x.;As b goes to infinity, the limit of f of x.;The limit of f of x when b tends to infinity.
243;\lim_{b \to {infinity}} g(a);The limit as b approaches infinity of g of a.;As b goes to infinity, the limit of g of a.;The limit of g of a when b tends to infinity.
244;\lim_{\eta \to {infinity}} g(\delta);The limit as eta approaches infinity of g of delta.;As eta goes to infinity, the limit of g of delta.;The limit of g of delta when eta tends to infinity.
245;\lim_{\delta \to {infinity}} \psi(\alpha);The limit as delta approaches infinity of psi of alpha.;As delta goes to infinity, the limit of psi of alpha.;The limit of psi of alpha when delta tends to infinity.
246;\lim_{\epsilon \to {infinity}} f(\eta);The limit as epsilon approaches infinity of f of eta.;As epsilon goes to infinity, the limit of f of eta.;The limit of f of eta when epsilon tends to infinity.
247;\lim_{b \to {infinity}} \phi(b);The limit as b approaches infinity of phi of b.;As b goes to infinity, the limit of phi of b.;The limit of phi of b when b tends to infinity.
248;\lim_{\alpha \to {infinity}} \phi(y);The limit as alpha approaches infinity of phi of y.;As alpha goes to infinity, the limit of phi of y.;The limit of phi of y when alpha tends to infinity.
249;\lim_{y \to {infinity}} g(z);The limit as y approaches infinity of g of z.;As y goes to infinity, the limit of g of z.;The limit of g of z when y tends to infinity.
250;\lim_{c \to {infinity}} f(\delta);The limit as c approaches infinity of f of delta.;As c goes to infinity, the limit of f of delta.;The limit of f of delta when c tends to infinity.
251;\lim_{c \to {infinity}} f(\beta);The limit as c approaches infinity of f of beta.;As c goes to infinity, the limit of f of beta.;The limit of f of beta when c tends to infinity.
252;{matrix}_{m \times n};A matrix with m rows and n columns.;An m by n matrix.;A matrix of size m times n.
253;\nabla \cdot \vec{{field}} = 947;The divergence of the vector field equals 947.;The dot product of the del operator and the vector field is 947.;The scalar result of applying the divergence operator to the vector field is 947.
254;\nabla \cdot \vec{{field}} = 171;The divergence of the vector field equals 171.;The dot product of the del operator and the vector field is 171.;The scalar result of applying the divergence operator to the vector field is 171.
255;\nabla \cdot \vec{{field}} = 419;The divergence of the vector field equals 419.;The dot product of the del operator and the vector field is 419.;The scalar result of applying the divergence operator to the vector field is 419.
256;\nabla \cdot \vec{{field}} = 182;The divergence of the vector field equals 182.;The dot product of the del operator and the vector field is 182.;The scalar result of applying the divergence operator to the vector field is 182.
257;\nabla \cdot \vec{{field}} = 672;The divergence of the vector field equals 672.;The dot product of the del operator and the vector field is 672.;The scalar result of applying the divergence operator to the vector field is 672.
258;\nabla \cdot \vec{{field}} = 47;The divergence of the vector field equals 47.;The dot product of the del operator and the vector field is 47.;The scalar result of applying the divergence operator to the vector field is 47.
259;\nabla \cdot \vec{{field}} = 202;The divergence of the vector field equals 202.;The dot product of the del operator and the vector field is 202.;The scalar result of applying the divergence operator to the vector field is 202.
260;\nabla \cdot \vec{{field}} = 192;The divergence of the vector field equals 192.;The dot product of the del operator and the vector field is 192.;The scalar result of applying the divergence operator to the vector field is 192.
261;\nabla \cdot \vec{{field}} = 745;The divergence of the vector field equals 745.;The dot product of the del operator and the vector field is 745.;The scalar result of applying the divergence operator to the vector field is 745.
262;\nabla \cdot \vec{{field}} = 589;The divergence of the vector field equals 589.;The dot product of the del operator and the vector field is 589.;The scalar result of applying the divergence operator to the vector field is 589.
263;\nabla \cdot \vec{{field}} = 699;The divergence of the vector field equals 699.;The dot product of the del operator and the vector field is 699.;The scalar result of applying the divergence operator to the vector field is 699.
264;\nabla \cdot \vec{{field}} = 233;The divergence of the vector field equals 233.;The dot product of the del operator and the vector field is 233.;The scalar result of applying the divergence operator to the vector field is 233.
265;\nabla \cdot \vec{{field}} = 835;The divergence of the vector field equals 835.;The dot product of the del operator and the vector field is 835.;The scalar result of applying the divergence operator to the vector field is 835.
266;\nabla \cdot \vec{{field}} = 137;The divergence of the vector field equals 137.;The dot product of the del operator and the vector field is 137.;The scalar result of applying the divergence operator to the vector field is 137.
267;\nabla \cdot \vec{{field}} = 158;The divergence of the vector field equals 158.;The dot product of the del operator and the vector field is 158.;The scalar result of applying the divergence operator to the vector field is 158.
268;\nabla \cdot \vec{{field}} = 131;The divergence of the vector field equals 131.;The dot product of the del operator and the vector field is 131.;The scalar result of applying the divergence operator to the vector field is 131.
269;\nabla \cdot \vec{{field}} = 513;The divergence of the vector field equals 513.;The dot product of the del operator and the vector field is 513.;The scalar result of applying the divergence operator to the vector field is 513.
270;\nabla \cdot \vec{{field}} = 334;The divergence of the vector field equals 334.;The dot product of the del operator and the vector field is 334.;The scalar result of applying the divergence operator to the vector field is 334.
271;\nabla \cdot \vec{{field}} = 65;The divergence of the vector field equals 65.;The dot product of the del operator and the vector field is 65.;The scalar result of applying the divergence operator to the vector field is 65.
272;\nabla \cdot \vec{{field}} = 840;The divergence of the vector field equals 840.;The dot product of the del operator and the vector field is 840.;The scalar result of applying the divergence operator to the vector field is 840.
273;\nabla \times \vec{{field}} = \vec{0};The curl of the vector field equals the zero vector.;The vector field's curl is equal to the zero vector.;The cross product of the del operator and the vector field equals the zero vector.
274;\frac{\partial f}{\partial x} = {f\_prime};The partial derivative of f with respect to x equals f prime.;F prime is the partial derivative of f with respect to x.;The rate of change of f with respect to x is represented as f prime.
275;\frac{\partial h}{\partial \delta} = {h\_prime};The partial derivative of h with respect to delta equals h prime.;H prime is the partial derivative of h with respect to delta.;The rate of change of h with respect to delta is represented as h prime.
276;\frac{\partial g}{\partial \zeta} = {g\_prime};The partial derivative of g with respect to zeta equals g prime.;G prime is the partial derivative of g with respect to zeta.;The rate of change of g with respect to zeta is represented as g prime.
277;\frac{\partial h}{\partial x} = {h\_prime};The partial derivative of h with respect to x equals h prime.;H prime is the partial derivative of h with respect to x.;The rate of change of h with respect to x is represented as h prime.
278;\frac{\partial \phi}{\partial \epsilon} = {\phi\_prime};The partial derivative of phi with respect to epsilon equals phi prime.;Phi prime is the partial derivative of phi with respect to epsilon.;The rate of change of phi with respect to epsilon is represented as phi prime.
279;\frac{\partial g}{\partial \delta} = {g\_prime};The partial derivative of g with respect to delta equals g prime.;G prime is the partial derivative of g with respect to delta.;The rate of change of g with respect to delta is represented as g prime.
280;\frac{\partial \psi}{\partial a} = {\psi\_prime};The partial derivative of psi with respect to a equals psi prime.;Psi prime is the partial derivative of psi with respect to a.;The rate of change of psi with respect to a is represented as psi prime.
281;\frac{\partial h}{\partial x} = {h\_prime};The partial derivative of h with respect to x equals h prime.;H prime is the partial derivative of h with respect to x.;The rate of change of h with respect to x is represented as h prime.
282;\frac{\partial f}{\partial a} = {f\_prime};The partial derivative of f with respect to a equals f prime.;F prime is the partial derivative of f with respect to a.;The rate of change of f with respect to a is represented as f prime.
283;\frac{\partial h}{\partial b} = {h\_prime};The partial derivative of h with respect to b equals h prime.;H prime is the partial derivative of h with respect to b.;The rate of change of h with respect to b is represented as h prime.
284;\frac{\partial \phi}{\partial \delta} = {\phi\_prime};The partial derivative of phi with respect to delta equals phi prime.;Phi prime is the partial derivative of phi with respect to delta.;The rate of change of phi with respect to delta is represented as phi prime.
285;\frac{\partial h}{\partial \zeta} = {h\_prime};The partial derivative of h with respect to zeta equals h prime.;H prime is the partial derivative of h with respect to zeta.;The rate of change of h with respect to zeta is represented as h prime.
286;\frac{\partial g}{\partial c} = {g\_prime};The partial derivative of g with respect to c equals g prime.;G prime is the partial derivative of g with respect to c.;The rate of change of g with respect to c is represented as g prime.
287;\frac{\partial h}{\partial x} = {h\_prime};The partial derivative of h with respect to x equals h prime.;H prime is the partial derivative of h with respect to x.;The rate of change of h with respect to x is represented as h prime.
288;\frac{\partial \phi}{\partial \eta} = {\phi\_prime};The partial derivative of phi with respect to eta equals phi prime.;Phi prime is the partial derivative of phi with respect to eta.;The rate of change of phi with respect to eta is represented as phi prime.
289;\frac{\partial f}{\partial x} = {f\_prime};The partial derivative of f with respect to x equals f prime.;F prime is the partial derivative of f with respect to x.;The rate of change of f with respect to x is represented as f prime.
290;\frac{\partial g}{\partial \eta} = {g\_prime};The partial derivative of g with respect to eta equals g prime.;G prime is the partial derivative of g with respect to eta.;The rate of change of g with respect to eta is represented as g prime.
291;\frac{\partial h}{\partial \alpha} = {h\_prime};The partial derivative of h with respect to alpha equals h prime.;H prime is the partial derivative of h with respect to alpha.;The rate of change of h with respect to alpha is represented as h prime.
292;\frac{\partial f}{\partial \delta} = {f\_prime};The partial derivative of f with respect to delta equals f prime.;F prime is the partial derivative of f with respect to delta.;The rate of change of f with respect to delta is represented as f prime.
293;\frac{\partial h}{\partial \alpha} = {h\_prime};The partial derivative of h with respect to alpha equals h prime.;H prime is the partial derivative of h with respect to alpha.;The rate of change of h with respect to alpha is represented as h prime.
294; z_1, y_2,..., a_n \in \mathbb{{set}};Z one, y two, through a n, belong to the set.;Z one, y two, up to a n, are elements of the set.;Z one, y two, all the way to a n, are in the set.
295; b_1, \eta_2,..., b_n \in \mathbb{{set}};B one, eta two, through b n, belong to the set.;B one, eta two, up to b n, are elements of the set.;B one, eta two, all the way to b n, are in the set.
296; x_1, x_2,..., y_n \in \mathbb{{set}};X one, x two, through y n, belong to the set.;X one, x two, up to y n, are elements of the set.;X one, x two, all the way to y n, are in the set.
297; a_1, x_2,..., \eta_n \in \mathbb{{set}};A one, x two, through eta n, belong to the set.;A one, x two, up to eta n, are elements of the set.;A one, x two, all the way to eta n, are in the set.
298; \alpha_1, \delta_2,..., \eta_n \in \mathbb{{set}};Alpha one, delta two, through eta n, belong to the set.;Alpha one, delta two, up to eta n, are elements of the set.;Alpha one, delta two, all the way to eta n, are in the set.
299; b_1, \eta_2,..., b_n \in \mathbb{{set}};B one, eta two, through b n, belong to the set.;B one, eta two, up to b n, are elements of the set.;B one, eta two, all the way to b n, are in the set.
300; b_1, \eta_2,..., \alpha_n \in \mathbb{{set}};B one, eta two, through alpha n, belong to the set.;B one, eta two, up to alpha n, are elements of the set.;B one, eta two, all the way to alpha n, are in the set.
301; \alpha_1, x_2,..., a_n \in \mathbb{{set}};Alpha one, x two, through a n, belong to the set.;Alpha one, x two, up to a n, are elements of the set.;Alpha one, x two, all the way to a n, are in the set.
302; a_1, c_2,..., \alpha_n \in \mathbb{{set}};A one, c two, through alpha n, belong to the set.;A one, c two, up to alpha n, are elements of the set.;A one, c two, all the way to alpha n, are in the set.
303; b_1, z_2,..., a_n \in \mathbb{{set}};B one, z two, through a n, belong to the set.;B one, z two, up to a n, are elements of the set.;B one, z two, all the way to a n, are in the set.
304; \eta_1, \beta_2,..., z_n \in \mathbb{{set}};Eta one, beta two, through z n, belong to the set.;Eta one, beta two, up to z n, are elements of the set.;Eta one, beta two, all the way to z n, are in the set.
305; b_1, b_2,..., \beta_n \in \mathbb{{set}};B one, b two, through beta n, belong to the set.;B one, b two, up to beta n, are elements of the set.;B one, b two, all the way to beta n, are in the set.
306; b_1, \delta_2,..., \gamma_n \in \mathbb{{set}};B one, delta two, through gamma n, belong to the set.;B one, delta two, up to gamma n, are elements of the set.;B one, delta two, all the way to gamma n, are in the set.
307; z_1, \beta_2,..., \delta_n \in \mathbb{{set}};Z one, beta two, through delta n, belong to the set.;Z one, beta two, up to delta n, are elements of the set.;Z one, beta two, all the way to delta n, are in the set.
308; a_1, z_2,..., \gamma_n \in \mathbb{{set}};A one, z two, through gamma n, belong to the set.;A one, z two, up to gamma n, are elements of the set.;A one, z two, all the way to gamma n, are in the set.
309; z_1, y_2,..., \zeta_n \in \mathbb{{set}};Z one, y two, through zeta n, belong to the set.;Z one, y two, up to zeta n, are elements of the set.;Z one, y two, all the way to zeta n, are in the set.
310; \epsilon_1, c_2,..., c_n \in \mathbb{{set}};Epsilon one, c two, through c n, belong to the set.;Epsilon one, c two, up to c n, are elements of the set.;Epsilon one, c two, all the way to c n, are in the set.
311; \epsilon_1, \zeta_2,..., a_n \in \mathbb{{set}};Epsilon one, zeta two, through a n, belong to the set.;Epsilon one, zeta two, up to a n, are elements of the set.;Epsilon one, zeta two, all the way to a n, are in the set.
312; \alpha_1, b_2,..., \alpha_n \in \mathbb{{set}};Alpha one, b two, through alpha n, belong to the set.;Alpha one, b two, up to alpha n, are elements of the set.;Alpha one, b two, all the way to alpha n, are in the set.
313; \eta_1, b_2,..., \gamma_n \in \mathbb{{set}};Eta one, b two, through gamma n, belong to the set.;Eta one, b two, up to gamma n, are elements of the set.;Eta one, b two, all the way to gamma n, are in the set.
314;\log_{{base}} c = 807;The logarithm base 'base' of c equals 807.;Log base 'base' of c is 807.;The log of c to the base 'base' is 807.
315;\log_{{base}} x = 364;The logarithm base 'base' of x equals 364.;Log base 'base' of x is 364.;The log of x to the base 'base' is 364.
316;\log_{{base}} \zeta = 683;The logarithm base 'base' of zeta equals 683.;Log base 'base' of zeta is 683.;The log of zeta to the base 'base' is 683.
317;\log_{{base}} y = 191;The logarithm base 'base' of y equals 191.;Log base 'base' of y is 191.;The log of y to the base 'base' is 191.
318;\log_{{base}} b = 3344;The logarithm base 'base' of b equals 328.;Log base 'base' of b is 328.;The log of b to the base 'base' is 328.
319;\log_{{base}} c = 665;The logarithm base 'base' of c equals 665.;Log base 'base' of c is 665.;The log of c to the base 'base' is 665.
320;\log_{{base}} \alpha = 32;The logarithm base 'base' of alpha equals 32.;Log base 'base' of alpha is 32.;The log of alpha to the base 'base' is 32.
321;\log_{{base}} b = 302;The logarithm base 'base' of b equals 302.;Log base 'base' of b is 302.;The log of b to the base 'base' is 302.
322;\log_{{base}} a = 307;The logarithm base 'base' of a equals 307.;Log base 'base' of a is 307.;The log of a to the base 'base' is 307.
323;\log_{{base}} x = 576;The logarithm base 'base' of x equals 576.;Log base 'base' of x is 576.;The log of x to the base 'base' is 576.
324;\log_{{base}} x = 655;The logarithm base 'base' of x equals 655.;Log base 'base' of x is 655.;The log of x to the base 'base' is 655.
325;\log_{{base}} \epsilon = 187;The logarithm base 'base' of epsilon equals 187.;Log base 'base' of epsilon is 187.;The log of epsilon to the base 'base' is 187.
326;\log_{{base}} a = 360;The logarithm base 'base' of a equals 324.;Log base 'base' of a is 324.;The log of a to the base 'base' is 324.
327;\log_{{base}} a = 347;The logarithm base 'base' of a equals 347.;Log base 'base' of a is 347.;The log of a to the base 'base' is 347.
328;\log_{{base}} \epsilon = 464;The logarithm base 'base' of epsilon equals 464.;Log base 'base' of epsilon is 464.;The log of epsilon to the base 'base' is 464.
329;\log_{{base}} \epsilon = 698;The logarithm base 'base' of epsilon equals 698.;Log base 'base' of epsilon is 698.;The log of epsilon to the base 'base' is 698.
330;\log_{{base}} x = 350;The logarithm base 'base' of x equals 350.;Log base 'base' of x is 350.;The log of x to the base 'base' is 350.
331;\log_{{base}} \eta = 903;The logarithm base 'base' of eta equals 903.;Log base 'base' of eta is 903.;The log of eta to the base 'base' is 903.
332;\log_{{base}} c = 180;The logarithm base 'base' of c equals 180.;Log base 'base' of c is 180.;The log of c to the base 'base' is 180.
333;\log_{{base}} y = 682;The logarithm base 'base' of y equals 682.;Log base 'base' of y is 682.;The log of y to the base 'base' is 682.
334;P({event}_A \cap {event}_B) = P({event}_A)P({event}_B);The probability of event A and event B occurring is equal to the probability of event A times the probability of event B.;The probability of both event A and B happening is the product of the probability of event A and the probability of event B.;The joint probability of event A and B is the multiplication of the individual probabilities of event A and event B.
335;\binom{n}{k} = \frac{n!}{k!(n-k)!};N choose K equals N factorial divided by K factorial times the quantity N minus K factorial.;The binomial coefficient of N and K is equal to the factorial of N divided by the product of the factorial of K and the factorial of N minus K.;The combination of N items taken K at a time is equal to N factorial over K factorial times N minus K factorial.
336;||\vec{\zeta}|| = \sqrt{\zeta_1^2 + \gamma_2^2 + \cdots + \delta_n^2};The magnitude of vector zeta equals the square root of the sum of zeta one squared, gamma two squared, and so on, up to delta n squared.;The length of vector zeta is the square root of the sum of the squares of zeta one, gamma two, through to delta n.;The norm of vector zeta is the square root of the sum of zeta one squared, gamma two squared, all the way to delta n squared.
337;||\vec{c}|| = \sqrt{y_1^2 + \eta_2^2 + \cdots + \delta_n^2};The magnitude of vector c equals the square root of the sum of y one squared, eta two squared, and so on, up to delta n squared.;The length of vector c is the square root of the sum of the squares of y one, eta two, through to delta n.;The norm of vector c is the square root of the sum of y one squared, eta two squared, all the way to delta n squared.
338;||\vec{c}|| = \sqrt{\epsilon_1^2 + c_2^2 + \cdots + \delta_n^2};The magnitude of vector c equals the square root of the sum of epsilon one squared, c two squared, and so on, up to delta n squared.;The length of vector c is the square root of the sum of the squares of epsilon one, c two, through to delta n.;The norm of vector c is the square root of the sum of epsilon one squared, c two squared, all the way to delta n squared.
339;||\vec{\alpha}|| = \sqrt{a_1^2 + \epsilon_2^2 + \cdots + \delta_n^2};The magnitude of vector alpha equals the square root of the sum of a one squared, epsilon two squared, and so on, up to delta n squared.;The length of vector alpha is the square root of the sum of the squares of a one, epsilon two, through to delta n.;The norm of vector alpha is the square root of the sum of a one squared, epsilon two squared, all the way to delta n squared.
340;||\vec{\zeta}|| = \sqrt{y_1^2 + \eta_2^2 + \cdots + \delta_n^2};The magnitude of vector zeta equals the square root of the sum of y one squared, eta two squared, and so on, up to delta n squared.;The length of vector zeta is the square root of the sum of the squares of y one, eta two, through to delta n.;The norm of vector zeta is the square root of the sum of y one squared, eta two squared, all the way to delta n squared.
341;||\vec{a}|| = \sqrt{z_1^2 + z_2^2 + \cdots + \delta_n^2};The magnitude of vector a equals the square root of the sum of z one squared, z two squared, and so on, up to delta n squared.;The length of vector a is the square root of the sum of the squares of z one, z two, through to delta n.;The norm of vector a is the square root of the sum of z one squared, z two squared, all the way to delta n squared.
342;||\vec{a}|| = \sqrt{\beta_1^2 + a_2^2 + \cdots + \delta_n^2};The magnitude of vector a equals the square root of the sum of beta one squared, a two squared, and so on, up to delta n squared.;The length of vector a is the square root of the sum of the squares of beta one, a two, through to delta n.;The norm of vector a is the square root of the sum of beta one squared, a two squared, all the way to delta n squared.
343;||\vec{y}|| = \sqrt{\delta_1^2 + c_2^2 + \cdots + \delta_n^2};The magnitude of vector y equals the square root of the sum of delta one squared, c two squared, and so on, up to delta n squared.;The length of vector y is the square root of the sum of the squares of delta one, c two, through to delta n.;The norm of vector y is the square root of the sum of delta one squared, c two squared, all the way to delta n squared.
344;||\vec{b}|| = \sqrt{b_1^2 + x_2^2 + \cdots + \delta_n^2};The magnitude of vector b equals the square root of the sum of b one squared, x two squared, and so on, up to delta n squared.;The length of vector b is the square root of the sum of the squares of b one, x two, through to delta n.;The norm of vector b is the square root of the sum of b one squared, x two squared, all the way to delta n squared.
345;||\vec{\zeta}|| = \sqrt{\zeta_1^2 + x_2^2 + \cdots + \delta_n^2};The magnitude of vector zeta equals the square root of the sum of zeta one squared, x two squared, and so on, up to delta n squared.;The length of vector zeta is the square root of the sum of the squares of zeta one, x two, through to delta n.;The norm of vector zeta is the square root of the sum of zeta one squared, x two squared, all the way to delta n squared.
346;||\vec{z}|| = \sqrt{\eta_1^2 + b_2^2 + \cdots + \delta_n^2};The magnitude of vector z equals the square root of the sum of eta one squared, b two squared, and so on, up to delta n squared.;The length of vector z is the square root of the sum of the squares of eta one, b two, through to delta n.;The norm of vector z is the square root of the sum of eta one squared, b two squared, all the way to delta n squared.
347;||\vec{c}|| = \sqrt{z_1^2 + z_2^2 + \cdots + \delta_n^2};The magnitude of vector c equals the square root of the sum of z one squared, z two squared, and so on, up to delta n squared.;The length of vector c is the square root of the sum of the squares of z one, z two, through to delta n.;The norm of vector c is the square root of the sum of z one squared, z two squared, all the way to delta n squared.
348;||\vec{b}|| = \sqrt{z_1^2 + a_2^2 + \cdots + \delta_n^2};The magnitude of vector b equals the square root of the sum of z one squared, a two squared, and so on, up to delta n squared.;The length of vector b is the square root of the sum of the squares of z one, a two, through to delta n.;The norm of vector b is the square root of the sum of z one squared, a two squared, all the way to delta n squared.
349;||\vec{\zeta}|| = \sqrt{a_1^2 + \gamma_2^2 + \cdots + \delta_n^2};The magnitude of vector zeta equals the square root of the sum of a one squared, gamma two squared, and so on, up to delta n squared.;The length of vector zeta is the square root of the sum of the squares of a one, gamma two, through to delta n.;The norm of vector zeta is the square root of the sum of a one squared, gamma two squared, all the way to delta n squared.
350;||\vec{y}|| = \sqrt{x_1^2 + z_2^2 + \cdots + \delta_n^2};The magnitude of vector y equals the square root of the sum of x one squared, z two squared, and so on, up to delta n squared.;The length of vector y is the square root of the sum of the squares of x one, z two, through to delta n.;The norm of vector y is the square root of the sum of x one squared, z two squared, all the way to delta n squared.
351;||\vec{\alpha}|| = \sqrt{\alpha_1^2 + \zeta_2^2 + \cdots + \delta_n^2};The magnitude of vector alpha equals the square root of the sum of alpha one squared, zeta two squared, and so on, up to delta n squared.;The length of vector alpha is the square root of the sum of the squares of alpha one, zeta two, through to delta n.;The norm of vector alpha is the square root of the sum of alpha one squared, zeta two squared, all the way to delta n squared.
352;||\vec{x}|| = \sqrt{x_1^2 + x_2^2 + \cdots + \delta_n^2};The magnitude of vector x equals the square root of the sum of x one squared, x two squared, and so on, up to delta n squared.;The length of vector x is the square root of the sum of the squares of x one, x two, through to delta n.;The norm of vector x is the square root of the sum of x one squared, x two squared, all the way to delta n squared.
353;||\vec{c}|| = \sqrt{z_1^2 + x_2^2 + \cdots + \delta_n^2};The magnitude of vector c equals the square root of the sum of z one squared, x two squared, and so on, up to delta n squared.;The length of vector c is the square root of the sum of the squares of z one, x two, through to delta n.;The norm of vector c is the square root of the sum of z one squared, x two squared, all the way to delta n squared.
354;||\vec{b}|| = \sqrt{\gamma_1^2 + \gamma_2^2 + \cdots + \delta_n^2};The magnitude of vector b equals the square root of the sum of gamma one squared, gamma two squared, and so on, up to delta n squared.;The length of vector b is the square root of the sum of the squares of gamma one, gamma two, through to delta n.;The norm of vector b is the square root of the sum of gamma one squared, gamma two squared, all the way to delta n squared.
